TA,Key,Indication
Infectious Disease,Infections,Borrelia Infections
Infectious Disease,Infections,Poxviridae Infections
Central Nervous System,Atrophy,Progressive Muscular Atrophy
Infectious Disease,Encephalitis,Western Equine Encephalitis
Oncology,Lymphoma,Secondary CNS Lymphoma
Oncology,Tumor,Hepatobiliary System Tumor
Genetic Disorders,Syndrome,Phelan-McDermid Syndrome
Genetic Disorders,Deficiency,Very Long -Chain Acyl-CoA Dehydrogenase Deficiency
Ophthalmology,Conjunctivitis,Chemical Conjunctivitis
Oncology,Tumor,Colon Tumor
Oncology,Syndrome,Neoplastic Syndrome
Oncology,Cancer,Intestinal Cancer
Infectious Disease,Histoplasmosis,Systemic Histoplasmosis
Infectious Disease,Infections,Clostridium Infections
Infectious Disease,Infections,Campylobacter fetus Infections
Infectious Disease,Bacteriuria,Symptomatic Bacteriuria
Infectious Disease,Fever,Colorado Tick Fever
Infectious Disease,Infections,Klebsiella granulomatis Infections
Respiratory,Disorders,Respiratory Tract Inflammatory Disorders
Infectious Disease,Infections,Francisella tularensis Infections
Infectious Disease,Infections,Rickettsia rickettsii Infections
Infectious Disease,Zygomycosis,Disseminated Zygomycosis
Infectious Disease,Influenza,Swine Influenza
Gastrointestinal,Dyspepsia,Ulcer Dyspepsia
Central Nervous System,Syndrome,Wernicke-Korsakoff Syndrome
Oncology,Astrocytoma,Pilocytic Astrocytoma
Oncology,Cancer,Ureter Cancer
Infectious Disease,Encephalitis,St Louis Encephalitis
Infectious Disease,Infections,Paramyxoviridae Infections
Oncology,Carcinoma,Ductal Carcinoma
Infectious Disease,Fever,Spirillary Rat Bite Fever
Oncology,Carcinoma,Signet Ring Cell Squamous Cell Carcinoma
Central Nervous System,Disorders,Olfactory Disorders
Infectious Disease,Fever,Louse-Borne Relapsing Fever
Cardiovascular,Cardiomyopathy,Hypertensive Cardiomyopathy
Respiratory,Pharyngitis,Chronic Pharyngitis
Infectious Disease,Infections,Streptobacillus moniliformis Infections
Hematological Disorders,Purpura,Secondary Idiopathic Thrombocytopenic Purpura
Ophthalmology,Glaucoma,Pigment Glaucoma
Genetic Disorders,Ichthyosis,X-Linked Ichthyosis
Infectious Disease,Infections,West Nile Virus Infections
Oncology,Glioma,Supratentorial Glioma
Oncology,Astrocytoma,Low-Grade Astrocytoma
Infectious Disease,Fever,Streptobacillary Rat Bite Fever
Infectious Disease,Infections,Vibrio cholerae Infections
Oncology,Cancer,Paranasal Sinus And Nasal Cavity Cancer
Infectious Disease,Infections,Bartonella Infections
Cardiovascular,Diseases,Mitral Valve Diseases
Oncology,Tumor,Peripheral Nerve Sheath Tumor
Oncology,Neoplasm,Pharyngeal Neoplasm
Respiratory,Hypersensitivity,Respiratory Hypersensitivity
Infectious Disease,Infections,Coxiella Infections
Oncology,Carcinoma,Spindle Cell Squamous Cell Carcinoma
Oncology,Tumor,Pancreatic Tumor
Infectious Disease,Zygomycosis,Rhinocerebral Zygomycosis
Infectious Disease,Infections,Ureaplasma urealyticum Infections
Hematological Disorders,Disorders,Unspecified Hematological Disorders
Oncology,Tumor,Rectal Tumor
Infectious Disease,Infections,Treponema Infections
Infectious Disease,Infections,Brucella Infections
Infectious Disease,Infections,Listeria monocytogenes Infections
Respiratory,Amyloidosis,Tracheobronchial Amyloidosis
Infectious Disease,Infections,Rickettsiaceae Infections
Immunology,Disorders,Unspecified Immunological Disorders
Oncology,Liposarcoma,Pleomorphic Liposarcoma
Infectious Disease,Infections,Treponema pallidum Infections
Infectious Disease,Infections,Neisseriaceae Infections
Oncology,Cancer,Throat Cancer
Oncology,Liposarcoma,Well Differentiated Liposarcoma
Infectious Disease,Infections,Vibrio Infections
Oncology,T-Cell Lymphomas,Peripheral T-Cell Lymphomas
Central Nervous System,Multiple Sclerosis,Secondary Progressive Multiple Sclerosis
Genetic Disorders,Muscular Dystrophy,Duchenne Muscular Dystrophy
Hematological Disorders,Kidney Disease,Anemia in Chronic Kidney Disease
Oncology,Colorectal Cancer,Metastatic Colorectal Cancer
Oncology,Lung Cancer,Non-Small Cell Lung Cancer
Oncology,Ovarian Cancer,Epithelial Ovarian Cancer
Oncology,Bladder Cancer,Non Muscle Invasive Bladder Cancer
Respiratory,Pulmonary Fibrosis,Idiopathic Pulmonary Fibrosis
Immunology,Pollen Allergy,Grass Pollen Allergy
Toxicology,Peripheral Neuropathy,Chemotherapy Induced Peripheral Neuropathy
Central Nervous System,Multiple Sclerosis,Relapsing Remitting Multiple Sclerosis
Oncology,Multiple Myeloma,Refractory Multiple Myeloma
Oncology,Breast Cancer,Triple-Negative Breast Cancer
Metabolic Disorders,familial hypercholesterolemia,Heterozygous familial hypercholesterolemia
Immunology,Lupus Erythematosus,Chronic Cutaneous Lupus Erythematosus
Metabolic Disorders,Peripheral Neuropathy,Diabetic Peripheral Neuropathy
Oncology,Prostate Cancer,Hormone Refractory Prostate Cancer
Oncology,Glioblastoma Multiforme,Recurrent Glioblastoma Multiforme
Central Nervous System,Neuropathic Pain,Diabetic Neuropathic Pain
Respiratory,Allergic Rhinitis,Seasonal Allergic Rhinitis
Musculoskeletal Disorders,Muscular Dystrophy,Oculopharyngeal Muscular Dystrophy
Oncology,Non-Hodgkin Lymphoma,B-Cell Non-Hodgkin Lymphoma
Cardiovascular,Ischemic Stroke,Acute Ischemic Stroke
Oncology,Multiple Myeloma,Relapsed Multiple Myeloma
Oncology,Breast Cancer,Hormone Sensitive Breast Cancer
Oncology,Prostate Cancer,Hormone-Sensitive Prostate Cancer
Oncology,Prostate Cancer,Metastatic Hormone Refractory Prostate Cancer
Oncology,Prostate Cancer,Metastatic Prostate Cancer
Oncology,Pancreatic Cancer,Metastatic Pancreatic Cancer
Oncology,Thyroid Cancer,Follicular Thyroid Cancer
Ophthalmology,Corneal Ulcers,Bacterial Corneal Ulcers
Oncology,Breast Cancer,Metastatic Breast Cancer
Ophthalmology,Macular Edema,Cystoid Macular Edema
Ophthalmology,Macular Degeneration,Age Related Macular Degeneration
Oncology,Ovarian Cancer,Metastatic Ovarian Cancer
Oncology,Prostate Cancer,Androgen-Sensitive Prostate Cancer
Ophthalmology,Nerve Injury,Optic Nerve Injury
Oncology,Lymphoblastic Lymphoma,Acute Lymphoblastic Lymphoma
Genetic Disorders,Kidney Disease,Polycystic Kidney Disease
Genito Urinary System And Sex Hormones,Kidney Disease,Chronic Kidney Disease
Genito Urinary System And Sex Hormones,Urinary Incontinence,Stress Urinary Incontinence
Genito Urinary System And Sex Hormones,Renal Failure,Acute Renal Failure
Respiratory,Respiratory Failure,Hypoxemic Respiratory Failure
Respiratory,Allergic Rhinitis,Perennial Allergic Rhinitis
Respiratory,Allergic Rhinitis,Persistant Allergic Rhinitis
Respiratory,Respiratory Failure,Acute Respiratory Failure
Respiratory,Pleural Effusion,Malignant Pleural Effusion
Ophthalmology,Choroidal Neovascularization,Classic Choroidal Neovascularization
Oncology,Thyroid Cancer,Medullary Thyroid Cancer
Ophthalmology,Neonatal Conjunctivitis,Chlamydia Neonatal Conjunctivitis
Dermatology,Leg Ulcers,Arterial Leg Ulcers
Infectious Disease,Opportunistic Infections,AIDS-Related Opportunistic Infections
Infectious Disease,Bacterial Pneumonia,Community-Acquired Bacterial Pneumonia
Oncology,Bladder Cancer,Muscle Invasive Bladder Cancer
Oncology,Lung Cancer,Small-Cell Lung Cancer
Oncology,Hepatocellular Carcinoma,Metastatic Hepatocellular Carcinoma
Oncology,Carcinoid Tumor,Gastrointestinal Carcinoid Tumor
Oncology,Thyroid Cancer,Anaplastic Thyroid Cancer
Nutritional Disorders,Kidney Disease,Hyperphosphatemia In Chronic Kidney Disease
Oncology,Lung Cancer,Squamous Non-Small Cell Lung Cancer
Oncology,Bone Metastasis,Osteolytic Bone Metastasis
Oncology,Pontine Glioma,Pediatric Diffuse Intrinsic Pontine Glioma
Oncology,Thyroid Cancer,Papillary Thyroid Cancer
Oncology,Malignant Glioma,Recurrent Malignant Glioma
Oncology,Liver Cancer,Metastatic Liver Cancer
Infectious Disease,Bacterial Infections,Gram-Positive Bacterial Infections
Infectious Disease,Bacterial Infections,Gram-Negative Bacterial Infections
Central Nervous System,Partial Seizure,Complex Partial Seizure
Immunology,Transplant Rejection,Bone Marrow Transplant Rejection
Immunology,Transplant Rejection,Heart Transplant Rejection
Immunology,Lupus Erythematosus,Systemic Lupus Erythematosus
Immunology,Rheumatoid Arthritis,Juvenile Rheumatoid Arthritis
Hormonal Disorders,Precocious Puberty,Central Precocious Puberty
Immunology,Transplant Rejection,Kidney Transplant Rejection
Immunology,Pollen Allergy,Cedar Pollen Allergy
Immunology,Lupus Erythematosus,Acute Cutaneous Lupus Erythematosus
Immunology,Lupus Erythematosus,Cutaneous Lupus Erythematosus
Cardiovascular,Stable Angina,Chronic Stable Angina
Cardiovascular,Ventricular Tachycardia,Paroxysmal Ventricular Tachycardia
Central Nervous System,Anesthetic Effect,General Anesthetic Effect
Central Nervous System,Muscle Spasticity,Lower Limb Muscle Spasticity
Central Nervous System,Back Pain,Low Back Pain
Central Nervous System,Anesthetic Effect,Local Anesthetic Effect
Central Nervous System,Arthritis Pain,Rheumatoid Arthritis Pain
Metabolic Disorders,Macular Edema,Diabetic Macular Edema
Metabolic Disorders,Familial Hypercholesterolemia,Homozygous Familial Hypercholesterolemia
Metabolic Disorders,Diabetes Insipidus,Neurogenic Diabetes Insipidus
Hormonal Disorders,Adrenal Insufficiency,Secondary Adrenal Insufficiency
Immunology,Transplant Rejection,Liver Transplant Rejection
Immunology,Pollen Allergy,Ragweed Pollen Allergy
Genito Urinary System And Sex Hormones,Kidney Disease,Growth Failure In Children With Kidney Disease
Central Nervous System,Multiple Sclerosis,Primary Progressive Multiple Sclerosis
Central Nervous System,Multiple Sclerosis,Progressive Relapsing Multiple Sclerosis
Central Nervous System,Multiple Sclerosis,Relapsing Multiple Sclerosis
Central Nervous System,Alzheimer's Disease,Dementia Associated With Alzheimer's Disease
Ophthalmology,Optic Neuropathy,Leber's Hereditary Optic Neuropathy
Ophthalmology,Macular Degeneration,Wet Macular Degeneration
Infectious Disease,Liver Abscess,Amoebic Liver Abscess
Cardiovascular,Pulmonary Hypertension,Chronic Thromboembolic Pulmonary Hypertension
Cardiovascular,Pulmonary Hypertension,Idiopathic Pulmonary Hypertension
Respiratory,Allergic Asthma,Perennial Allergic Asthma
Central Nervous System,Neuropathic Pain,Peripheral Neuropathic Pain
Dermatology,Dermatological Disorders,Unspecified Dermatological Disorders
Dermatology,Leg Ulcers,Venous Leg Ulcers
Immunology,Pollen Allergy,Birch Pollen Allergy
Immunology,Transplant Rejection,Lung Transplant Rejection
Metabolic Disorders,Diabetic Retinopathy,Non-Proliferative Diabetic Retinopathy
Musculoskeletal Disorders,Juvenile Arthritis,Systemic Idiopathic Juvenile Arthritis
Oncology,Malignant Glioma,Adult Malignant Glioma
Oncology,Breast Cancer,Hormone Refractory Breast Cancer
Oncology,Brain Tumor,Metastatic Brain Tumor
Genito Urinary System And Sex Hormones,Kidney Disease,End-Stage Kidney Disease
Infectious Disease,Bacterial Infections,Unspecified Bacterial Infections
Musculoskeletal Disorders,Juvenile Arthritis,Oligoarticular Idiopathic Juvenile Arthritis
Oncology,Testicular Cancer,Nonseminomatous Testicular Cancer
Immunology,Rheumatoid Arthritis,Oligoarticular Juvenile Rheumatoid Arthritis
Cardiovascular,Pulmonary Hypertension,Familial Pulmonary Hypertension
Metabolic Disorders,Carnitine Deficiency,Secondary Carnitine Deficiency
Respiratory,Respiratory Failure,Chronic Respiratory Failure
Respiratory,Allergic Asthma,Seasonal Allergic Asthma
Ophthalmology,Optic Neuropathy,Non-Arteritic Anterior Ischemic Optic Neuropathy
Dermatology,Leg Ulcers,Neurotrophic Leg Ulcers
Respiratory,Sleep Apnea,Obstructive Sleep Apnea
Metabolic Disorders,Amyloid Cardiomyopathy,Familial Amyloid Cardiomyopathy
Ophthalmology,Macular Degeneration,Dry Macular Degeneration
Toxicology,Radiation Toxicity,Pulmonary Radiation Toxicity
Oncology,Lung Cancer,Metastatic Lung Cancer
Immunology,Rheumatoid Arthritis,Systemic Juvenile Rheumatoid Arthritis
Genetic Disorders,Muscular Dystrophy,Becker Muscular Dystrophy
Central Nervous System,Nerve Injury,Peripheral Nerve Injury
Cardiovascular,Reperfusion Injury,Ischemia Reperfusion Injury
Central Nervous System,Cognitive Impairment,Mild Cognitive Impairment
Central Nervous System,Sleep Disorders,Circadian Rhythm Sleep Disorders
Musculoskeletal Disorders,Axial Spondyloarthritis,Non-Radiographic Axial Spondyloarthritis
Gastrointestinal,Liver Failure,Acute Liver Failure
Central Nervous System,Muscle Spasticity,Upper Limb Muscle Spasticity
Cardiovascular,Ischemic Stroke,Chronic Ischemic Stroke
Genetic Disorders,Metabolic Disorders,Inherited Metabolic Disorders
Ear Nose Throat Disorders,Infectious Rhinitis,Acute Infectious Rhinitis
Central Nervous System,Cerebral Palsy,Athetoid Cerebral Palsy
Ophthalmology,Macular Degeneration,Juvenile Macular Degeneration
Immunology,Transplant Rejection,Pancreatic Islet Transplant Rejection
Oncology,Uveal Melanoma,Metastatic Uveal Melanoma
Musculoskeletal Disorders,Muscular Dystrophy,Facioscapulohumeral Muscular Dystrophy
Oncology,Thrombocythemia Myelofibrosis,Post-Essential Thrombocythemia Myelofibrosis
Respiratory,Sleep Apnea,Central Sleep Apnea
Musculoskeletal Disorders,Muscular Dystrophy,Limb-Girdle Muscular Dystrophy
Toxicology,Radiation Toxicity,Cutaneous Radiation Toxicity
Metabolic Disorders,Diabetic Retinopathy,Proliferative Diabetic Retinopathy
Infectious Disease,Equine Encephalitis,Eastern Equine Encephalitis
Musculoskeletal Disorders,Muscular Dystrophy,Laminin-Deficient Congenital Muscular Dystrophy
Toxicology,Radiation Toxicity,Gastrointestinal Radiation Toxicity
Oncology,Skin Cancer,Nonmelanomatous Skin Cancer
Ophthalmology,Optic Neuropathy,Ischemic Optic Neuropathy
Central Nervous System,Nerve Injury,Traumatic Nerve Injury
Ophthalmology,Corneal Ulcers,Parasitic Corneal Ulcers
Central Nervous System,Peripheral Neuropathy,Anti-MAG Peripheral Neuropathy
Immunology,Lupus Erythematosus,Subacute Cutaneous Lupus Erythematosus
Ophthalmology,Ocular Inflammation,Intermediate Ocular Inflammation
Ophthalmology,Choroidal Neovascularization,Occult Choroidal Neovascularization
Central Nervous System,Partial Seizure,Simple Partial Seizure
Immunology,Pollen Allergy,Olea Europea Pollen Allergy
Central Nervous System,Cerebral Palsy,Spastic Cerebral Palsy
Dermatology,Uremic Pruritus,Chronic Uremic Pruritus
Oncology,Ductal Carcinoma,Invasive Ductal Carcinoma
Oncology,Testicular Cancer,Metastatic Nonseminomatous Testicular Cancer
Oncology,Prostate Cancer,Testosterone-Sensitive Prostate Cancer
Central Nervous System,Cerebral Palsy,Infantile Cerebral Palsy
Oncology,Mycosis Fungoides,Transformed Mycosis Fungoides
Infectious Disease,Equine Encephalitis,Venezuelan Equine Encephalitis
Ophthalmology,Posterior Uveitis,Diffuse Posterior Uveitis
Oncology,Ductal Carcinoma,Mammary Ductal Carcinoma
Cardiovascular,Artery Stenosis,Renal Artery Stenosis
Ophthalmology,Neonatal Conjunctivitis,Neisseria Neonatal Conjunctivitis
Central Nervous System,Cerebral Palsy,Spastic Diplegia Cerebral Palsy
Infectious Disease,Equine Encephalitis,Western Equine Encephalitis
Hematological Disorders,Hematological Disorders,Unspecified Hematological Disorders
Hematological Disorders,Chronic Kidney Disease,Anemia in Chronic Kidney Disease
Oncology,Renal Cell Carcinoma,Metastatic Renal Cell Carcinoma
Oncology,Acute Lymphocytic Leukemia,B-Cell Acute Lymphocytic Leukemia
Immunology,Cutaneous Lupus Erythematosus,Chronic Cutaneous Lupus Erythematosus
Oncology,Squamous Cell Carcinoma,Head And Neck Cancer Squamous Cell Carcinoma
Oncology,Chronic Lymphocytic Leukemia,Refractory Chronic Lymphocytic Leukemia
Oncology,Chronic Lymphocytic Leukemia,B-Cell Chronic Lymphocytic Leukemia
Gastrointestinal,Hemolytic Uremic Syndrome,Atypical Hemolytic Uremic Syndrome
Respiratory,Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease
Respiratory,Respiratory Tract Infections,Lower Respiratory Tract Infections
Respiratory,Respiratory Tract Infections,Bacterial Respiratory Tract Infections
Respiratory,Respiratory Distress Syndrome,Neonatal Respiratory Distress Syndrome
Respiratory,Respiratory Tract Infections,Acute Upper Respiratory Tract Infections
Respiratory,Respiratory Tract Infections,Upper Respiratory Tract Infections
Ophthalmology,Retinal Vein Occlusion,Central Retinal Vein Occlusion
Male Health,Benign Prostatic Hyperplasia,Storage Symptoms of Benign Prostatic Hyperplasia
Male Health,Benign Prostatic Hyperplasia,Voiding Symptoms of Benign Prostatic Hyperplasia
Oncology,Germ Cell Tumors,Germinomatous Germ Cell Tumors
Nutritional Disorders,Chronic Kidney Disease,Hyperphosphatemia In Chronic Kidney Disease
Oncology,Acute Lymphocytic Leukemia,T-Cell Acute Lymphocytic Leukemia
Oncology,Squamous Cell Carcinoma,Recurrent Head And Neck Cancer Squamous Cell Carcinoma
Oncology,Bile Duct Cancer,Metastatic Bile Duct Cancer
Oncology,Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma
Infectious Disease,Staphylococcus aureus Infections,Methicillin-Resistant Staphylococcus aureus Infections
Infectious Disease,Staphylococcus aureus Infections,Methicillin-Susceptible Staphylococcus aureus Infections
Infectious Disease,Staphylococcus aureus Infections,Vancomycin-Resistant Staphylococcus aureus Infections
Infectious Disease,Pseudomonas aeruginosa Infections,Resistant Pseudomonas aeruginosa Infections
Immunology,Stem Cell Transplantation,Hematopoietic Stem Cell Transplantation
Immunology,Cutaneous Lupus Erythematosus,Acute Cutaneous Lupus Erythematosus
Immunology,Humoral Immune Deficiencies,Secondary Humoral Immune Deficiencies
Cardiovascular,Coronary Artery Disease,Chronic Coronary Artery Disease
Central Nervous System,Relapsing Multiple Sclerosis,Progressive Relapsing Multiple Sclerosis
Ophthalmology,Retinal Vein Occlusion,Branch Retinal Vein Occlusion
Respiratory,Respiratory Distress Syndrome,Acute Respiratory Distress Syndrome
Infectious Disease,Staphylococcus aureus Infections,Hospital Acquired Methicillin-Resistant Staphylococcus aureus Infections
Cardiovascular,Sickle Cell Disease,Vaso-Occlusive Crisis Associated With Sickle Cell Disease
Immunology,Juvenile Rheumatoid Arthritis,Oligoarticular Juvenile Rheumatoid Arthritis
Central Nervous System,Spinal Cord Injury,Acute Spinal Cord Injury
Respiratory,Respiratory Distress Syndrome,Adult Respiratory Distress Syndrome
Ophthalmology,Ischemic Optic Neuropathy,Non-Arteritic Anterior Ischemic Optic Neuropathy
Gastrointestinal,Fatty Liver Disease,Alcoholic Fatty Liver Disease
Immunology,Humoral Immune Deficiencies,Primary Humoral Immune Deficiencies
